Designator,Footprint,Quantity,Value,JLCPCB Part #
"D1, D2, D3, D4",LED_D5.0mm,4,LED,C7470717
"D5, D6, D7, D8",D_SMA,4,SS510,C65010
"GROW1, GROW2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,~,C89122
J1,RPI Correct,1,Raspberry_Pi_5,C35165
J12,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,12V,C89122
J2,PinHeader_1x01_P2.00mm_Vertical,1,12V IN,C81276
"J3, J4",PinHeader_1x04_P2.54mm_Vertical,2,Soil Sensor,C27985189
J5,PinHeader_1x01_P2.00mm_Vertical,1,5V IN,C81276
J6,PinHeader_1x04_P2.54mm_Vertical,1,Temperature Sensor,C27985189
J7,PinHeader_1x04_P2.54mm_Vertical,1,Air Quality Sensor,C27985189
J8,PinHeader_1x04_P2.54mm_Vertical,1,Humidity Sensor,C27985189
J9,PinHeader_1x04_P2.54mm_Vertical,1,HC-SR04,C27985189
"Q1, Q2, Q3, Q4, Q5, Q6",TO-220-3_Vertical,6,IRLB8721PbF,C153222
R1,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Heater,C89122
"R10, R11, R12, R13",805,4,1kΩ,C17513
R14,1210,1,1kΩ,C270888
R15,2512,1,2kΩ,C37457
"R2, R3",805,2,4.7kΩ,C17673
"R4, R5, R6, R7, R8, R9",1206,6,10kΩ,C17902
"VALVE1, VALVE2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,L,C89122
